country_name,length_3d,max_elevation,min_elevation,uphill,downhill,difficulty,duration_hours,moving_time_hours,diff
All,13703.86,1940.16,1008.28,1052.88,985.59,2.94,6.51,4.3,T3  Difficult Mountain hike
Albania,14358.54,2487.2,917.57,1501.54,1325.23,3.57,10.23,5.37,T4- High-level Alpine hike
Andorra,8428.23,2852.2,1914.5,709.63,966.4,3.33,5.23,3.3,T3+ Difficult Mountain hike
Argentina,6429.0,1936.9,1628.9,322.95,329.25,1.5,3.3,2.45,T1  Valley hike
Armenia,9373.67,1765.7,1144.37,639.5,158.33,2.67,2.53,1.9,T3  Difficult Mountain hike
Austria,11589.33,2004.72,1094.51,951.24,836.48,3.17,5.52,3.5,T3+ Difficult Mountain hike
Belgium,18341.93,614.77,451.43,339.27,338.07,1.33,5.8,5.2,T1  Valley hike
Bosnia and Herz.,9729.7,2389.4,1624.95,798.5,791.0,3.67,5.4,3.25,T4- High-level Alpine hike
Bulgaria,9477.72,2454.19,1742.15,625.0,625.92,2.71,5.64,3.61,T3  Difficult Mountain hike
Canada,10109.75,948.75,407.5,568.0,361.0,1.75,1.8,1.72,T2  Mountain hike
Chile,11198.07,451.0,60.33,489.6,492.6,2.0,5.5,3.97,T2  Mountain hike
China,22046.3,2650.0,1789.2,844.2,1049.0,2.0,10.0,6.9,T2  Mountain hike
Costa Rica,6696.65,1933.25,1638.25,954.55,935.05,2.16,1.25,1.0,T2  Mountain hike
Croatia,13744.67,1195.83,534.43,765.97,481.73,2.0,5.4,4.03,T2  Mountain hike
Czechia,11182.21,995.53,687.27,404.78,352.06,1.78,2.24,1.98,T2  Mountain hike
Ecuador,22321.1,3409.0,2849.1,333.0,780.0,3.33,0.9,0.9,T3+ Difficult Mountain hike
Faroe Islands,9766.3,470.0,50.4,465.6,419.6,2.0,3.3,2.1,T2  Mountain hike
France,10707.56,1738.91,1070.55,877.19,692.12,2.3,5.36,3.31,T2  Mountain hike
Georgia,13929.46,2091.12,1439.21,684.53,624.71,2.22,6.46,4.63,T2  Mountain hike
